# Optical constants for Co created by PTB
# Reconstructed from reflection measurements in the wavelength range 8 - 25 nm
# 40 nm Co thin film in a multilayer on Si (C/ Co/ Ru/ Si) (measured 4/2022)
# n = (1-delta) - (i*beta)
# The values are provided with their 3-sigma uncertainty bounds. HB: Higher Bound. LB: Lower Bound.
#lambda/nm	1-delta	beta	1-delta_LB	1-delta_HB	beta_LB	beta_HB
# ------------------------
24.06	0.94207	0.1031	0.94078	0.94338	0.10232	0.10391
24.08	0.94176	0.10335	0.94034	0.94313	0.10251	0.10415
24.1	0.94149	0.10332	0.94001	0.94308	0.10247	0.10423
24.12	0.9412	0.10334	0.93997	0.94254	0.10252	0.10422
24.14	0.94081	0.10355	0.9395	0.94213	0.10269	0.10442
24.16	0.94058	0.10413	0.93908	0.94204	0.10328	0.1051
24.18	0.94036	0.10363	0.93897	0.94163	0.10286	0.10447
24.2	0.93978	0.1039	0.93845	0.94113	0.1031	0.10476
24.22	0.93946	0.10387	0.93801	0.94098	0.10293	0.10475
24.24	0.93938	0.1039	0.93803	0.94071	0.10308	0.10468
24.26	0.93866	0.10407	0.93732	0.94004	0.10322	0.10486
24.28	0.93868	0.10459	0.93712	0.94024	0.10365	0.10548
24.3	0.93824	0.10415	0.93692	0.93961	0.10328	0.10502
24.32	0.93785	0.10428	0.93642	0.9392	0.10346	0.10512
24.34	0.93761	0.10427	0.93612	0.93906	0.10341	0.10517
24.36	0.93735	0.10429	0.93609	0.93865	0.10352	0.1051
24.38	0.93691	0.10462	0.93555	0.93827	0.10378	0.10551
